1,https://www.theverge.com/21539047/best-amazon-kindle-deals,Here are the best Kindle deals right now,Brandon Widder,2022/09/01
2,https://www.theverge.com/2022/9/1/23332329/disney-prime-membership-program-being-explored,Disney is exploring a ‘Disney Prime’ membership program ,James Vincent,2022/09/01
3,https://www.theverge.com/2022/9/1/23331803/eve-homekit-android-app-smart-light-switch-matter,Eve gets an Android app and launches a Thread version of its smart switch ,Jennifer Pattison Tuohy,2022/09/01
4,https://www.theverge.com/2022/9/1/23330456/ring-intercom-smart-doorbell-apartment-price-specs,Ring’s latest gadget makes your apartment intercom smart,Jennifer Pattison Tuohy,2022/09/01
5,https://www.theverge.com/2022/9/1/23330916/signify-philips-hue-play-lightstrips-monitor-gaming-smart-home-ifa-2022,Philips Hue is leveling up with lighting strips for your monitor,Alice Newcome-Beill,2022/09/01
6,https://www.theverge.com/2022/9/1/23331387/philips-hue-announces-new-lightguide-bulbs-smartthings-music-sync,Philips Hue’s new Lightguide bulbs have landed,Jennifer Pattison Tuohy,2022/09/01
7,https://www.theverge.com/2022/9/1/23331266/sony-xperia-5-mark-iv-price-cameras-screen-specs,The Sony Xperia 5 IV puts powerful features in all three rear cameras,Allison Johnson,2022/09/01
8,https://www.theverge.com/2022/9/1/23331027/kobo-clara-2e-e-reader-waterproof-recycled-plastic,Kobo announces a new waterproof Kobo Clara 2E to compete with the Kindle Paperwhite,Sheena Vasani,2022/09/01
9,https://www.theverge.com/2022/9/1/23331619/lenovo-thinkpad-x1-fold-gen-2-announced-features-specs-price,Lenovo’s second-gen X1 Fold could be the game-changer the first one wasn’t,Monica Chin,2022/09/01
10,https://www.theverge.com/2022/8/31/23331493/arm-qualcomm-nuvia-lawsuit-architecture-license-servers-desktops,Qualcomm’s server and laptop ambitions may be in trouble,Mitchell Clark,2022/08/31
11,https://www.theverge.com/2022/8/31/23330808/roomster-ftc-lawsuit-app-store-google-play-fake-reviews,Roomster sued by the FTC and six state AGs for fake listings and fake app store reviews,Jasmine Hicks,2022/08/31
12,https://www.theverge.com/2022/8/31/23330952/apple-iphone-14-pro-single-notch-rumor,The iPhone 14 Pro may have one pill-shaped notch when turned on,Monica Chin,2022/08/31
13,https://www.theverge.com/2022/8/31/23331342/meta-plans-paid-features-facebook-instagram-whatsapp,Meta is planning more paid features for Facebook and Instagram,Alex Heath,2022/08/31
14,https://www.theverge.com/2022/8/31/23330865/lg-styler-shoecase-shoecare-sneaker-shelf-cleaner-ifa,LG’s fancy new shoeboxes pamper your sneakers,Umar Shakir,2022/08/31
15,https://www.theverge.com/21443994/ios-14-app-library-iphone-organize-how-to,How to use iOS’s App Library to organize your apps,Barbara Krasnoff,2022/08/31
16,https://www.theverge.com/23330512/best-labor-day-sales-2022-tech-deals-macbook-laptops-earbuds-smart-home-tablets,The best Labor Day deals happening now,Antonio G. Di Benedetto,2022/08/31
17,https://www.theverge.com/23331294/mark-zuckerberg-metaverse-bet-facebook-meta-horizons-leaked-audio,Inside Mark Zuckerberg’s biggest bet,Alex Heath,2022/08/31
18,https://www.theverge.com/2022/8/31/23330877/samsung-oled-gaming-monitor-odyssey-g8-quantum-dot,Samsung’s first OLED gaming monitor doesn’t need a PC or console attached,Mitchell Clark,2022/08/31
19,https://www.theverge.com/2022/8/31/23330961/chinese-tech-giant-netease-quantic-dream-detroit-become-human-developer,Chinese tech giant buys Detroit: Become Human developer Quantic Dream,Emma Roth,2022/08/31
20,https://www.theverge.com/2022/8/31/23331104/apple-iphone-5s-6-plus-ios-12-5-6-update-security,"If you have an iPhone 5S or 6, it’s time for a rare iOS update",Mitchell Clark,2022/08/31
21,https://www.theverge.com/2022/8/31/23327122/south-carolina-rejects-nrlc-model-legislation-abortion-law-internet-ban-speech,A South Carolina plan to punish abortion aid sites is going nowhere,Adi Robertson,2022/08/31
22,https://www.theverge.com/2022/8/31/23330758/etsy-strike-boycott-indie-sellers-guild-union-fee-increase,Etsy sellers are starting a ‘union’ to fight policies they say hurt merchants,Mia Sato,2022/08/31
23,https://www.theverge.com/2022/8/31/23330537/ev-battery-mineral-shortage-us-tax-credits,The shift to electric vehicles is about to overwhelm meager US mining operations,Andrew J. Hawkins,2022/08/31
24,https://www.theverge.com/2022/8/31/23329133/t-mobile-app-network-pass-easy-switch-esim,T-Mobile will let you try its network free for three months,Allison Johnson,2022/08/31
25,https://www.theverge.com/2022/8/31/23330521/la-nina-rare-triple-dip-world-meteorological-organization-forecast-extreme-weather,Get ready for a rare ‘triple-dip’ La Niña,Justine Calma,2022/08/31
26,https://www.theverge.com/2022/8/31/23330379/nvidia-broadcast-virtual-green-screen-obs-studio-support,Nvidia Broadcast support will make virtual green screens easier in OBS Studio,Jess Weatherbed,2022/08/31
27,https://www.theverge.com/2022/8/31/23323224/apple-watch-pro-wearable-smartwatch-battery,What the Apple Watch Pro needs to succeed,Victoria Song,2022/08/31
28,https://www.theverge.com/2022/8/31/23330392/xbox-360-games-with-gold-portal-2-last-game,Portal 2 is the last free Xbox 360 Games with Gold title,Tom Warren,2022/08/31
29,https://www.theverge.com/2022/8/31/23330370/lg-oled-flex-tv-bendable-ifa-2022,LG’s first bendable OLED TV lets you pick between flat or curved modes,Tom Warren,2022/08/31
30,https://www.theverge.com/2022/8/30/23329998/nasa-artemis-rocket-launch-second-attempt-date-time,NASA moves next Artemis I rocket launch attempt to September 3rd,Andrew J. Hawkins,2022/08/31
31,https://www.theverge.com/2022/8/30/23329219/samsung-tv-plus-adds-more-free-channels-content-fast-streaming,Samsung adds more free channels and content to its TV Plus lineup,Emma Roth,2022/08/30
32,https://www.theverge.com/2022/8/30/23329610/royal-caribbean-spacex-starlink-cruise-ships-celebrity-silversea,Royal Caribbean is putting SpaceX’s Starlink on its cruise ships,Mitchell Clark,2022/08/30
33,https://www.theverge.com/2022/8/30/23329583/snaps-chief-business-officer-is-leaving-to-run-ads-at-netflix,Snap’s chief business officer is leaving to run ads at Netflix,Alex Heath,2022/08/30
34,https://www.theverge.com/2022/8/30/23329295/apple-arcade-tom-hanks-trivia-hanx-writer-101,Apple Arcade’s latest exclusive is... a Tom Hanks passion project?,Mitchell Clark,2022/08/30
35,https://www.theverge.com/2022/8/30/23329301/snap-layoffs-20-percent-employees-snapchat,Snap plans to lay off 20 percent of employees,Alex Heath,2022/08/30
36,https://www.theverge.com/2022/8/30/23329075/virginia-judge-dismisses-gender-queer-obscenity-minors-case-aclu,Virginia judge shuts down demand to ban book sales to minors,Adi Robertson,2022/08/30
37,https://www.theverge.com/2022/8/30/23329245/truth-social-donald-trump-google-play-store-dwac-spac,Truth Social is strapped for cash and struggling to find new users,Makena Kelly,2022/08/30
38,https://www.theverge.com/2022/8/30/23328970/logitech-g502-x-lightspeed-plus-gaming-mouse-mice-optical-buttons-usb-c,Logitech’s new G502 X gaming mice have clicky optical buttons,Umar Shakir,2022/08/30
39,https://www.theverge.com/good-deals/2022/8/30/23327362/sony-wh-1000xm5-headphones-xbox-series-s-google-pixel-phone-samsung-watch-earbuds-deal-sale,The Sony WH-1000XM5 headphones just got their first discount at Woot,Alice Newcome-Beill,2022/08/30
40,https://www.theverge.com/2022/8/30/23328977/google-open-source-bug-bounty-supply-chain-hacks-dependencies,Google’s open-source bug bounty aims to clamp down on supply chain attacks,Mitchell Clark,2022/08/30
41,https://www.theverge.com/2022/8/30/23329080/covid-test-free-white-house-website,This is the last week to get free rapid COVID-19 tests from the US government,Nicole Wetsman,2022/08/30
